,Logistic Regression,Random Forest,Gradient Boosting,Neural Network
Accuracy,0.7998977206312098,0.8312390414962011,0.8137784921098773,0.8299970626831055
AUC,0.7110624566178798,0.7611567414909259,0.7271599129396215,0.8945528461866556
Recall,0.5115911485774499,0.6037934668071654,0.5326659641728135,0.6778187565858799
Precision,0.686947293951185,0.7398321497740478,0.7229174115123347,0.6976681127982647
F1-Score,0.5864411897931451,0.6649260226283725,0.6133778249658729,0.6876002137894174
