Feature,Importance
lead_time,0.19598893666032535
adr,0.12732128261486153
arrival_date_day_of_month,0.1128666293212029
arrival_date_month,0.0728836141012001
total_of_special_requests,0.06862767777059228
stays_in_week_nights,0.060612562244225544
stays_in_weekend_nights,0.036828991214035274
market_segment_Online TA,0.03426416442588959
required_car_parking_spaces,0.02815544046950101
arrival_date_year,0.02728561290614129
previous_cancellations,0.020556359163887813
booking_changes,0.020026149320938207
adults,0.019241757849936536
deposit_type_Non Refund,0.013908138983379512
customer_type_Transient,0.012291560134792507
assigned_room_type_A,0.011253581153601493
market_segment_Offline TA/TO,0.010786190713098132
customer_type_Transient-Party,0.008157061948318611
children,0.00808438782312723
deposit_type_No Deposit,0.007935598961866651
market_segment_Direct,0.007850200961033078
reserved_room_type_A,0.007787132207728715
assigned_room_type_D,0.007751028290622772
meal_BB,0.007227293887513345
hotel_City Hotel,0.006935349055118525
hotel_Resort Hotel,0.006828827448256567
previous_bookings_not_canceled,0.005595745945167799
reserved_room_type_D,0.005586914811301258
meal_HB,0.00489337855581588
meal_SC,0.004298203528101761
assigned_room_type_E,0.004125489734496992
reserved_room_type_E,0.003194892067634742
market_segment_Corporate,0.0030347232331220703
is_repeated_guest,0.0028551173066974377
market_segment_Groups,0.0027424348275003276
assigned_room_type_F,0.002731469208629605
assigned_room_type_C,0.002099324459372311
assigned_room_type_B,0.0019675406130949214
babies,0.0017597763329721314
customer_type_Contract,0.0016837957712111011
assigned_room_type_G,0.0016484885345586934
reserved_room_type_F,0.0015279466015183033
reserved_room_type_G,0.0013952419175822114
reserved_room_type_B,0.0009749385506254765
reserved_room_type_C,0.000950302742168812
assigned_room_type_H,0.0007364927968250188
market_segment_Complementary,0.0006724550693170667
meal_FB,0.0006532035509043027
days_in_waiting_list,0.0006285979302402948
reserved_room_type_H,0.000564509899467912
market_segment_Aviation,0.0005298114071551153
customer_type_Group,0.0005174655773852677
assigned_room_type_I,0.0004874767535204986
assigned_room_type_K,0.00039677237868659834
deposit_type_Refundable,0.0002919602637316144
